audit_dimension,source,value,count,interpretation
source_distribution,Swiggy AREA,R.T. Nagar,494,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy AREA,Koramangala,481,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy AREA,"Sanjay Nagar, New BEL Road",249,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy AREA,Malleshwaram,208,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy AREA,,1,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy PRIMARY_CUISINE,North Indian,3046,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy PRIMARY_CUISINE,Biryani,1430,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy PRIMARY_CUISINE,Mughlai,310,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy PRIMARY_CUISINE,,1,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy CG_CUISINE,North Indian,3170,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy CG_CUISINE,Biryani,891,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy CG_CUISINE,South Indian,397,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy CG_CUISINE,Coastal/Seafood,106,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy CG_CUISINE,,78,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy CG_CUISINE,Chaat/Street Food/Mithai,48,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy CG_CUISINE,Chinese/Pan-Asian,43,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy CG_CUISINE,Arabic/Middleeast/Mediterranean,37,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy CG_CUISINE,Burgers/American,17,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,CURRY,867,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,OTHER DRY STARTERS,575,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,BIRYANI,443,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,OTHER RICE VARIETIES,187,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,KEBAB,163,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,TIKKA,111,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,ROTI,109,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,ROLL,94,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,NAAN,91,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,FRIED RICE,89,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,PARATHA,86,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,THALI,85,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,SWEETS,78,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,SHAKE,70,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy DISH_FAMILY,PAROTTA,69,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,main course,278,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,starters,231,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,desserts,121,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,indian breads,92,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,beverages,87,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,indian,72,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,south indian,70,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,eat,65,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,north indian,65,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,ipl combos,60,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,starter,55,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,nandhini super hit starters,54,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,north indian gravys,52,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,breads,52,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_CATEGORY,fresh fruit juices & coolers,51,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_VEG_FLAG,1.0,2988,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_VEG_FLAG,,1759,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy ITEM_VEG_FLAG,2.0,40,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Swiggy IS_COMBO,,4787,Source dimension preserved/audited; high-cardinality fields truncated to top 15.
source_distribution,Zomato Locality Name,MG Road,183,Zomato source dimension audited.
source_distribution,Zomato Primary Cuisine,Mughlai,51,Zomato source dimension audited.
source_distribution,Zomato Primary Cuisine,Biryani,51,Zomato source dimension audited.
source_distribution,Zomato Primary Cuisine,North Indian,50,Zomato source dimension audited.
source_distribution,Zomato Primary Cuisine,Hyderabadi,31,Zomato source dimension audited.
